Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,0,11200,0,0,0,0,0,0,0,9,0,0,0,1,5,5,1965,1965,1,0,3,3,1,1,0,1,1,0,0,3,0,0,0,0,0,1040,0,0,1040,1,0,3,1,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2008,0,0,129500
12,60,0,11924,0,0,1,0,0,0,0,10,0,0,0,0,9,5,2005,2006,1,0,5,2,2,2,0,0,2,0,0,0,0,0,0,0,0,1182,1142,0,2324,3,0,4,1,2,11,0,2,2,2,2,0,0,0,147,21,0,0,0,0,0,0,0,0,7,2006,1,2,345000
13,20,0,12968,0,0,2,0,0,0,0,9,0,0,0,1,5,6,1962,1962,1,0,3,4,1,1,0,1,1,0,0,1,0,0,2,0,0,912,0,0,912,1,0,2,1,1,4,0,0,0,1,1,0,0,0,140,0,0,0,176,0,0,0,0,0,9,2008,0,0,144000
14,20,0,10652,0,0,1,0,0,0,0,0,0,0,0,1,7,5,2006,2007,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,1494,0,0,1494,2,0,3,1,0,7,0,1,2,0,0,0,0,0,160,33,0,0,0,0,0,0,0,0,8,2007,1,2,279500
15,20,0,10920,0,0,1,0,0,2,0,11,0,0,0,1,6,5,1960,1960,1,0,1,1,0,1,0,1,1,0,0,4,0,0,2,0,0,1253,0,0,1253,1,1,2,1,1,5,0,1,3,0,0,0,0,0,0,213,176,0,0,0,0,2,0,0,5,2008,0,0,157000
16,45,1,6120,0,0,0,0,0,2,0,8,0,0,0,3,7,8,1929,2001,0,0,2,5,1,1,0,2,1,0,0,2,0,0,0,0,2,854,0,0,854,1,0,2,1,1,5,0,0,0,1,1,0,0,0,48,112,0,0,0,0,0,3,0,0,7,2007,0,0,132000
17,20,0,11241,0,0,1,0,0,3,0,11,0,0,0,1,6,7,1970,1970,0,0,2,5,0,1,0,1,1,0,0,1,0,0,0,0,0,1004,0,0,1004,1,0,2,1,1,5,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,700,3,2010,0,0,149000
18,90,0,10791,0,0,0,0,0,0,0,9,0,0,2,1,4,5,1967,1967,0,0,1,1,1,1,0,4,3,2,4,5,2,0,2,0,0,1296,0,0,1296,2,0,2,2,1,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,500,10,2006,0,0,90000
19,20,0,13695,0,0,0,0,0,0,0,12,4,0,0,1,5,5,2004,2004,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1114,0,0,1114,1,1,3,1,0,6,0,0,0,1,1,0,0,0,0,102,0,0,0,0,0,0,0,0,6,2008,0,0,159000
20,20,0,7560,0,0,0,0,0,0,0,11,0,0,0,1,5,6,1958,1965,1,0,4,4,1,1,0,1,1,0,0,6,0,0,2,0,0,1339,0,0,1339,1,0,3,1,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2009,2,1,139000
21,60,0,14215,0,0,1,0,0,2,0,10,0,0,0,0,8,5,2005,2006,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,1158,1218,0,2376,3,1,4,1,0,9,0,1,2,2,0,0,0,0,240,154,0,0,0,0,0,0,0,0,11,2006,1,2,325300
22,45,1,7449,0,1,0,1,0,0,0,13,0,0,0,3,7,7,1930,1950,0,0,2,5,1,1,0,0,1,0,0,2,0,0,0,0,1,1108,0,0,1108,1,0,3,1,0,6,0,1,2,0,1,0,0,1,0,0,205,0,0,0,0,3,0,0,6,2007,0,0,139400
23,20,0,9742,0,0,0,0,0,0,0,0,0,0,0,1,8,5,2002,2002,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1795,0,0,1795,2,0,3,1,0,7,0,1,2,0,0,0,0,0,171,159,0,0,0,0,0,0,0,0,9,2008,0,0,230000
24,120,1,4224,0,0,0,0,0,0,0,14,0,0,3,1,5,7,1976,1976,0,0,6,6,1,1,0,0,0,0,0,0,0,0,2,0,0,1060,0,0,1060,1,0,3,1,1,6,0,1,1,0,1,0,0,0,100,110,0,0,0,0,0,0,0,0,6,2007,0,0,129900
25,20,0,8246,0,0,1,0,0,0,0,9,0,0,0,1,5,8,1968,2001,0,0,7,4,1,1,1,1,1,0,2,3,3,0,0,0,0,1060,0,0,1060,1,0,3,1,0,6,0,1,1,0,1,0,0,0,406,90,0,0,0,0,0,1,0,0,5,2010,0,0,154000
26,20,0,14230,0,0,0,0,0,2,0,10,0,0,0,1,8,5,2007,2007,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1600,0,0,1600,2,0,3,1,0,7,0,1,2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,7,2009,0,0,256300
27,20,0,7200,0,0,0,0,0,2,0,11,0,0,0,1,5,7,1951,2000,0,0,2,5,1,1,0,1,1,0,2,4,4,0,2,0,0,900,0,0,900,1,0,3,1,0,5,0,0,0,1,1,0,0,0,222,32,0,0,0,0,0,0,0,0,5,2010,0,0,134800
28,20,0,11478,0,0,0,0,0,0,0,10,0,0,0,1,8,5,2007,2008,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1704,0,0,1704,2,0,3,1,0,7,0,1,2,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,5,2010,0,0,306000
29,20,0,16321,0,0,1,0,0,3,0,11,0,0,0,1,5,6,1957,1997,0,0,1,1,1,1,0,1,1,0,1,4,0,0,2,0,0,1600,0,0,1600,1,0,2,1,1,6,0,2,2,0,0,0,0,0,288,258,0,0,0,0,0,0,0,0,12,2006,0,0,207500
30,30,1,6324,0,0,1,0,0,0,0,8,1,2,0,1,4,6,1927,1950,0,0,1,1,1,1,0,2,1,0,0,2,0,0,3,1,0,520,0,0,520,1,0,1,1,3,4,0,0,0,1,1,1,0,0,49,0,87,0,0,0,0,0,0,0,5,2008,0,0,68500
31,70,2,8500,0,2,0,0,0,0,0,13,1,0,0,0,4,4,1920,1950,2,0,4,7,1,1,2,2,1,0,0,2,0,0,2,1,0,649,668,0,1317,1,0,3,1,1,6,0,0,0,1,1,0,1,1,0,54,172,0,0,0,0,1,0,0,7,2008,0,0,40000
32,20,0,8544,0,0,1,0,0,3,0,9,0,0,0,1,5,6,1966,2006,0,0,3,3,1,1,0,1,1,0,0,2,0,0,1,0,0,1228,0,0,1228,1,1,3,1,0,6,0,0,0,0,1,0,0,0,0,65,0,0,0,0,0,1,0,0,6,2008,0,0,149350
33,20,0,11049,0,0,0,0,0,2,0,0,0,0,0,1,8,5,2007,2007,0,0,0,0,1,0,0,0,2,0,3,2,0,0,0,0,0,1234,0,0,1234,2,0,3,1,0,7,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2008,0,0,179900
34,20,0,10552,0,0,1,0,0,0,0,11,0,0,0,1,5,5,1959,1959,1,0,4,7,1,1,0,1,1,0,0,3,0,0,1,0,0,1700,0,0,1700,1,1,4,1,0,6,0,1,2,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,4,2010,0,0,165500
35,120,0,7313,0,0,0,0,0,0,0,10,0,0,3,1,9,5,2005,2005,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1561,0,0,1561,2,0,2,1,2,6,0,1,2,0,2,0,0,0,203,47,0,0,0,0,0,0,0,0,8,2007,0,0,277500
36,60,0,13418,0,0,0,0,0,0,0,10,0,0,0,0,8,5,2004,2005,0,0,0,0,2,0,0,0,2,0,3,2,0,0,0,0,0,1132,1320,0,2452,3,1,4,1,0,9,0,1,2,2,2,0,0,0,113,32,0,0,0,0,0,0,0,0,9,2006,0,0,309000
37,20,0,10859,0,0,0,0,0,2,0,0,0,0,0,1,5,5,1994,1995,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1097,0,0,1097,1,1,3,1,1,6,0,0,0,0,1,0,0,0,392,64,0,0,0,0,0,0,0,0,6,2009,0,0,145000
38,20,0,8532,0,0,0,0,0,0,0,11,0,0,0,1,5,6,1954,1990,1,0,2,5,0,1,0,1,1,0,0,3,0,0,1,0,0,1297,0,0,1297,1,0,3,1,1,5,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2009,0,0,153000
39,20,0,7922,0,0,0,0,0,0,0,11,0,0,0,1,5,7,1953,2007,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,0,0,1057,0,0,1057,1,0,3,1,0,5,0,0,0,1,1,0,0,0,0,52,0,0,0,0,0,0,0,0,1,2010,0,1,109000
40,90,0,6040,0,0,0,0,0,0,0,15,0,0,2,1,4,5,1955,1955,0,0,8,4,1,1,0,0,3,2,4,5,2,0,2,1,3,1152,0,0,1152,2,0,2,2,3,6,0,0,0,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,6,2008,0,3,82000
41,20,0,8658,0,0,0,0,0,0,0,11,0,0,0,1,6,5,1965,1965,0,0,2,5,0,1,0,1,1,0,0,3,0,0,0,0,0,1324,0,0,1324,2,0,3,1,1,6,0,1,1,0,0,0,0,0,0,138,0,0,0,0,0,2,0,0,12,2006,0,1,160000
42,20,0,16905,0,0,0,0,0,0,0,16,0,0,0,1,5,6,1959,1959,0,0,0,0,1,1,1,1,1,0,1,4,0,0,1,0,0,1328,0,0,1328,1,1,2,1,1,5,0,2,2,0,0,0,0,2,0,104,0,0,0,0,0,0,0,0,7,2007,0,0,170000
43,85,0,9180,0,0,1,0,0,3,0,12,0,0,0,4,5,7,1983,1983,0,0,3,3,1,1,0,1,0,0,3,1,5,0,1,0,0,884,0,0,884,1,0,2,1,0,5,0,0,0,0,0,0,3,0,240,0,0,0,0,0,0,1,0,0,12,2007,0,0,144000
44,20,0,9200,0,0,1,0,0,3,0,0,0,0,0,1,5,6,1975,1980,1,0,0,0,1,1,0,1,0,0,3,6,1,0,2,0,0,938,0,0,938,1,0,3,1,1,5,0,0,0,1,1,0,0,0,145,0,0,0,0,0,0,1,0,0,7,2008,0,0,130250
45,20,0,7945,0,0,0,0,0,0,0,11,0,0,0,1,5,6,1959,1959,0,0,4,5,1,1,0,1,1,0,0,1,1,0,0,0,2,1150,0,0,1150,1,0,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2006,0,0,141000
46,120,0,7658,0,0,0,0,0,0,0,10,0,0,3,1,9,5,2005,2005,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1752,0,0,1752,2,0,2,1,2,6,0,1,2,0,0,0,0,0,196,82,0,0,0,0,0,0,0,0,2,2010,0,0,319900
47,50,0,12822,0,0,1,0,0,3,0,4,0,0,0,2,7,5,2003,2003,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1518,631,0,2149,1,1,1,1,0,6,0,1,4,0,0,0,0,0,168,43,0,0,198,0,0,0,0,0,8,2009,0,1,239686
48,20,3,11096,0,0,0,0,0,0,0,5,0,0,0,1,8,5,2006,2006,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1656,0,0,1656,2,0,3,1,0,7,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,7,2007,0,0,249700
49,190,1,4456,0,0,0,0,0,0,0,7,0,0,1,0,4,5,1920,2008,0,0,1,1,1,1,0,2,1,0,0,2,0,0,1,0,0,736,716,0,1452,2,0,2,3,1,8,0,0,0,4,3,3,2,1,0,0,102,0,0,0,0,0,0,0,6,2009,1,2,113000
50,20,0,7742,0,0,0,0,0,0,0,9,0,0,0,1,5,7,1966,1966,0,0,3,3,1,1,0,1,1,0,0,4,0,0,0,0,0,955,0,0,955,1,0,3,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2007,0,0,127000
51,60,0,13869,0,0,2,0,0,2,0,17,0,0,0,0,6,6,1997,1997,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,794,676,0,1470,2,0,3,1,1,6,0,0,0,0,2,0,0,0,0,75,0,0,0,0,0,0,0,0,7,2007,0,0,177000
52,50,1,6240,0,0,0,0,0,0,0,8,0,0,0,2,6,6,1934,1950,0,0,2,5,1,1,0,0,1,0,0,2,0,0,2,0,0,816,0,360,1176,1,0,3,1,1,6,0,1,2,1,1,0,0,0,112,0,0,0,0,0,0,1,1,400,9,2006,0,0,114500
53,90,1,8472,1,0,2,1,0,2,1,13,5,0,2,1,5,5,1963,1963,0,0,2,5,1,3,0,1,0,0,1,6,6,0,2,1,0,816,0,0,816,1,0,2,1,1,5,0,0,0,3,1,0,0,0,106,0,0,0,0,0,0,0,0,0,5,2010,0,0,110000
54,20,0,50271,0,0,1,2,0,0,0,1,0,0,0,1,9,5,1981,1987,0,1,5,2,1,0,0,1,2,0,1,0,0,0,1,0,0,1842,0,0,1842,0,1,0,1,0,5,0,1,2,0,2,0,0,0,857,72,0,0,0,0,0,0,0,0,11,2006,0,0,385000
55,80,0,7134,0,0,0,1,0,0,1,11,0,0,0,5,5,5,1955,1955,0,0,1,1,1,1,0,1,1,0,0,1,0,0,2,0,0,1360,0,0,1360,1,0,3,1,1,6,1,1,1,1,1,0,0,0,0,50,0,0,0,0,0,1,0,0,2,2007,0,0,130000
56,20,0,10175,0,0,1,0,0,0,0,11,0,0,0,1,6,5,1964,1964,0,0,3,4,0,1,0,1,1,0,0,4,0,0,1,0,0,1425,0,0,1425,2,0,3,1,1,7,0,1,2,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,7,2008,0,0,180500
57,160,3,2645,0,2,0,0,0,0,0,5,0,0,4,0,8,5,1999,2000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,983,756,0,1739,2,1,3,1,0,7,0,0,0,0,2,0,0,0,115,0,0,0,0,0,0,0,0,0,8,2009,0,1,172500
58,60,0,11645,0,0,1,0,0,2,0,0,0,0,0,0,7,5,2004,2004,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,860,860,0,1720,2,1,3,1,0,7,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,8,2006,0,0,196500
59,60,0,13682,0,0,2,3,0,3,0,18,0,0,0,0,10,5,2006,2006,1,0,0,0,0,2,0,0,2,0,1,2,0,0,0,0,0,1426,1519,0,2945,3,1,3,1,0,10,0,1,2,2,2,0,0,0,192,0,37,0,0,0,0,0,0,0,10,2006,1,2,438780
60,20,0,7200,0,0,0,1,0,0,0,0,0,0,0,1,5,7,1972,1972,0,0,3,3,1,1,0,1,1,0,3,1,0,0,0,0,0,780,0,0,780,1,0,2,1,1,4,0,0,0,1,1,0,0,0,196,0,0,0,0,0,0,1,0,0,1,2008,0,0,124900
61,20,0,13072,0,0,0,0,0,0,0,12,4,0,0,1,6,5,2004,2004,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1158,0,0,1158,1,1,3,1,0,5,0,0,0,1,1,0,0,0,0,50,0,0,0,0,0,0,0,0,5,2006,1,2,158000
62,75,1,7200,0,0,0,0,0,0,0,13,0,0,0,6,5,7,1920,1996,0,0,1,1,1,1,0,2,1,3,0,2,0,0,2,1,0,581,530,0,1111,1,0,3,1,3,6,0,0,0,1,1,0,0,1,0,0,144,0,0,0,0,0,0,0,3,2007,0,0,101000
63,120,0,6442,0,0,1,0,0,0,0,10,0,0,3,1,8,5,2006,2006,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1370,0,0,1370,2,0,2,1,0,6,0,1,2,0,0,0,0,0,120,49,0,0,0,0,0,0,0,0,10,2007,0,0,202500
64,70,1,10300,0,0,1,1,0,0,0,7,6,3,0,0,7,6,1921,1950,0,0,9,8,1,1,0,2,1,0,0,2,0,0,1,0,0,902,808,0,1710,2,0,3,1,1,9,0,0,0,1,1,0,0,0,12,11,64,0,0,0,0,3,0,0,4,2010,0,0,140000
65,60,0,9375,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1997,1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1057,977,0,2034,2,1,3,1,0,8,0,0,0,0,0,0,0,0,576,36,0,0,0,0,0,3,0,0,2,2009,0,0,219500
66,60,0,9591,0,0,0,0,0,0,0,10,0,0,0,0,8,5,2004,2005,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,1143,1330,0,2473,2,1,4,1,0,9,0,1,2,2,0,0,0,0,192,151,0,0,0,0,0,0,0,0,10,2007,0,0,317000
67,20,0,19900,0,0,0,0,0,0,0,11,7,0,0,1,7,5,1970,1989,0,0,7,4,0,1,0,1,0,0,1,0,0,0,2,0,0,2207,0,0,2207,2,0,3,1,1,7,1,1,2,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,7,2010,0,0,180000
68,20,0,10665,0,0,1,0,0,0,0,0,0,0,0,1,7,5,2003,2003,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1479,0,0,1479,2,0,3,1,0,7,0,0,0,0,0,0,0,0,144,29,0,0,0,0,0,0,0,0,6,2007,0,0,226000
69,30,1,4608,0,0,0,0,0,2,0,7,3,0,0,1,4,6,1945,1950,0,0,1,1,1,1,1,1,1,0,0,2,0,0,2,0,0,747,0,0,747,1,0,2,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2010,0,0,80000
70,50,0,15593,0,0,0,0,0,2,0,19,0,0,0,2,7,4,1953,1953,0,0,4,9,1,0,0,1,1,0,0,4,0,1,2,0,0,1304,983,0,2287,2,0,3,1,1,7,0,1,1,0,2,0,0,0,0,21,114,0,0,0,0,0,0,0,7,2006,0,0,225000
71,20,0,13651,0,0,1,0,0,0,0,11,0,0,0,1,7,6,1973,1973,0,0,7,4,0,1,1,1,0,0,1,1,0,0,0,0,0,2223,0,0,2223,2,0,3,1,1,8,0,2,2,0,2,0,0,0,300,0,0,0,0,0,0,0,0,0,2,2007,0,0,244000
72,20,0,7599,0,0,0,0,0,2,0,4,0,0,0,1,4,6,1982,2006,0,0,3,4,1,1,0,1,1,0,0,1,0,0,2,0,0,845,0,0,845,1,0,2,1,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2007,0,0,129500
73,60,0,10141,0,0,1,0,0,2,0,17,0,0,0,0,7,5,1998,1998,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,885,833,0,1718,2,1,3,1,1,7,0,1,1,0,2,0,0,0,0,94,0,0,291,0,0,0,0,0,12,2009,0,0,185000
74,20,0,10200,0,0,0,0,0,0,0,11,0,0,0,1,5,7,1954,2003,0,0,2,5,0,1,0,1,1,0,0,1,1,0,1,0,0,1086,0,0,1086,1,0,3,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2010,0,0,144900
75,50,1,5790,0,0,0,0,0,2,0,7,0,0,0,0,3,6,1915,1950,2,0,0,0,1,0,1,1,4,0,0,2,0,0,1,1,0,840,765,0,1605,2,0,3,2,1,8,0,0,0,1,1,0,0,0,0,0,202,0,0,0,0,0,0,0,5,2010,0,0,107400
76,180,1,1596,0,0,0,0,0,0,0,14,0,0,4,5,4,5,1973,1973,0,0,6,6,1,1,0,1,0,0,1,0,0,0,2,0,0,526,462,0,988,1,0,2,1,1,5,0,0,0,2,1,0,0,0,120,101,0,0,0,0,0,2,0,0,11,2009,0,0,91000
77,20,0,8475,0,0,1,0,0,0,0,11,0,0,0,1,4,7,1956,1956,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,2,952,0,0,952,1,0,2,1,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2008,0,0,135750
78,50,1,8635,0,0,0,0,0,0,0,8,0,0,0,2,5,5,1948,2001,0,0,2,5,1,1,0,1,1,0,0,4,6,0,2,0,0,1072,213,0,1285,1,0,2,1,1,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2008,0,0,127000
79,90,0,10778,0,0,0,0,0,0,0,9,0,0,2,1,4,5,1968,1968,1,0,3,3,1,1,0,1,1,0,0,2,0,0,2,1,0,1768,0,0,1768,2,0,4,2,1,8,0,0,0,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,4,2010,0,0,136500
80,50,1,10440,0,1,0,0,0,2,0,7,0,0,0,0,5,6,1910,1981,0,0,2,5,1,1,0,0,1,0,0,2,0,0,1,0,0,682,548,0,1230,1,1,2,1,1,5,0,0,0,1,1,0,0,0,74,0,128,0,0,0,0,1,0,0,5,2009,0,0,110000
81,60,0,13000,0,0,0,0,0,2,0,11,0,0,0,0,6,6,1968,1968,0,0,0,0,0,1,1,1,0,0,0,3,0,0,2,0,0,1182,960,0,2142,2,1,4,1,0,8,0,1,2,0,2,0,0,0,0,72,0,0,252,0,0,0,0,0,6,2009,0,0,193500
82,120,1,4500,0,0,0,0,0,1,0,4,0,0,3,1,6,5,1998,1998,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1337,0,0,1337,2,0,2,1,1,5,0,0,0,0,2,0,0,0,0,199,0,0,0,0,0,0,0,0,3,2006,0,0,153500
83,20,0,10206,0,0,0,0,0,0,0,5,0,0,0,1,8,5,2007,2007,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1563,0,0,1563,2,0,3,1,0,6,0,1,2,0,0,0,0,0,144,99,0,0,0,0,0,0,0,0,10,2008,0,0,245000
84,20,0,8892,0,0,1,0,0,0,0,11,0,0,0,1,5,5,1960,1960,0,0,1,1,3,1,0,1,1,0,0,2,0,0,1,0,0,1065,0,0,1065,1,1,3,1,1,6,0,0,0,1,1,0,0,0,74,0,0,0,0,0,0,0,0,0,7,2007,2,0,126500
85,80,0,8530,0,0,1,0,0,0,0,17,0,0,0,5,7,5,1995,1996,0,0,3,3,0,1,0,0,0,0,0,2,0,0,1,0,0,804,670,0,1474,2,1,3,1,1,7,0,1,1,2,2,0,0,0,120,72,0,0,0,0,0,0,1,700,5,2009,0,0,168500
86,60,0,16059,0,0,0,0,0,2,0,3,0,0,0,0,8,5,1991,1992,1,0,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1301,1116,0,2417,2,1,4,1,0,9,0,1,1,0,1,0,0,0,127,82,0,0,0,0,0,0,0,0,4,2006,0,0,260000
87,60,0,11911,0,0,2,0,0,0,0,17,0,0,0,0,6,5,2005,2005,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,684,876,0,1560,2,1,3,1,0,6,0,1,2,2,2,0,0,0,100,38,0,0,0,0,0,0,0,0,3,2009,0,0,174000
88,160,3,3951,0,2,0,0,0,2,0,5,0,0,3,0,6,5,2009,2009,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,612,612,0,1224,2,1,2,1,0,4,0,0,0,1,0,0,0,0,0,234,0,0,0,0,0,0,0,0,6,2009,1,2,164500
89,50,2,8470,0,0,1,0,0,2,0,13,1,3,0,2,3,2,1915,1982,1,0,7,4,1,3,2,1,1,3,0,2,0,0,2,1,0,1013,0,513,1526,1,0,2,1,3,6,0,0,0,4,3,3,2,1,0,0,156,0,0,0,0,1,0,0,10,2009,3,1,85000
