Id,MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
11,20,11200,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,TA,TA,CBlock,GasA,Ex,Y,1040,0,0,1040,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,2,2008,Normal,129500
12,60,11924,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,1182,1142,0,2324,3,0,4,1,11,2,Y,147,21,0,0,0,0,0,7,2006,Partial,345000
13,20,12968,Pave,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,912,0,0,912,1,0,2,1,4,0,Y,140,0,0,0,176,0,0,9,2008,Normal,144000
14,20,10652,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1494,0,0,1494,2,0,3,1,7,1,Y,160,33,0,0,0,0,0,8,2007,Partial,279500
15,20,10920,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1253,0,0,1253,1,1,2,1,5,1,Y,0,213,176,0,0,0,0,5,2008,Normal,157000
16,45,6120,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,TA,TA,BrkTil,GasA,Ex,Y,854,0,0,854,1,0,2,1,5,0,Y,48,112,0,0,0,0,0,7,2007,Normal,132000
17,20,11241,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,1004,0,0,1004,1,0,2,1,5,1,Y,0,0,0,0,0,0,700,3,2010,Normal,149000
18,90,10791,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,TA,TA,Slab,GasA,TA,Y,1296,0,0,1296,2,0,2,2,6,0,Y,0,0,0,0,0,0,500,10,2006,Normal,90000
19,20,13695,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,1114,0,0,1114,1,1,3,1,6,0,Y,0,102,0,0,0,0,0,6,2008,Normal,159000
20,20,7560,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1339,0,0,1339,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,5,2009,Abnorml,139000
21,60,14215,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1158,1218,0,2376,3,1,4,1,9,1,Y,240,154,0,0,0,0,0,11,2006,Partial,325300
22,45,7449,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,1108,0,0,1108,1,0,3,1,6,1,N,0,0,205,0,0,0,0,6,2007,Normal,139400
23,20,9742,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1795,0,0,1795,2,0,3,1,7,1,Y,171,159,0,0,0,0,0,9,2008,Normal,230000
24,120,4224,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,1060,0,0,1060,1,0,3,1,6,1,Y,100,110,0,0,0,0,0,6,2007,Normal,129900
25,20,8246,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,TA,Gd,CBlock,GasA,Ex,Y,1060,0,0,1060,1,0,3,1,6,1,Y,406,90,0,0,0,0,0,5,2010,Normal,154000
26,20,14230,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1600,0,0,1600,2,0,3,1,7,1,Y,0,56,0,0,0,0,0,7,2009,Normal,256300
27,20,7200,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,900,0,0,900,1,0,3,1,5,0,Y,222,32,0,0,0,0,0,5,2010,Normal,134800
28,20,11478,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1704,0,0,1704,2,0,3,1,7,1,Y,0,50,0,0,0,0,0,5,2010,Normal,306000
29,20,16321,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1600,0,0,1600,1,0,2,1,6,2,Y,288,258,0,0,0,0,0,12,2006,Normal,207500
30,30,6324,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,TA,TA,BrkTil,GasA,Fa,N,520,0,0,520,1,0,1,1,4,0,Y,49,0,87,0,0,0,0,5,2008,Normal,68500
31,70,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,TA,Fa,BrkTil,GasA,TA,N,649,668,0,1317,1,0,3,1,6,0,N,0,54,172,0,0,0,0,7,2008,Normal,40000
32,20,8544,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,1228,0,0,1228,1,1,3,1,6,0,Y,0,65,0,0,0,0,0,6,2008,Normal,149350
33,20,11049,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1234,0,0,1234,2,0,3,1,7,0,Y,0,30,0,0,0,0,0,1,2008,Normal,179900
34,20,10552,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,TA,TA,CBlock,GasA,Gd,Y,1700,0,0,1700,1,1,4,1,6,1,Y,0,38,0,0,0,0,0,4,2010,Normal,165500
35,120,7313,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,1561,0,0,1561,2,0,2,1,6,1,Y,203,47,0,0,0,0,0,8,2007,Normal,277500
36,60,13418,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1132,1320,0,2452,3,1,4,1,9,1,Y,113,32,0,0,0,0,0,9,2006,Normal,309000
37,20,10859,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,1097,0,0,1097,1,1,3,1,6,0,Y,392,64,0,0,0,0,0,6,2009,Normal,145000
38,20,8532,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,TA,TA,CBlock,GasA,Gd,Y,1297,0,0,1297,1,0,3,1,5,1,Y,0,0,0,0,0,0,0,10,2009,Normal,153000
39,20,7922,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,1057,0,0,1057,1,0,3,1,5,0,Y,0,52,0,0,0,0,0,1,2010,Abnorml,109000
40,90,6040,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,TA,TA,PConc,GasA,TA,N,1152,0,0,1152,2,0,2,2,6,0,N,0,0,0,0,0,0,0,6,2008,AdjLand,82000
41,20,8658,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,1324,0,0,1324,2,0,3,1,6,1,Y,0,138,0,0,0,0,0,12,2006,Abnorml,160000
42,20,16905,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,TA,Gd,CBlock,GasA,Gd,Y,1328,0,0,1328,1,1,2,1,5,2,P,0,104,0,0,0,0,0,7,2007,Normal,170000
43,85,9180,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,884,0,0,884,1,0,2,1,5,0,Y,240,0,0,0,0,0,0,12,2007,Normal,144000
44,20,9200,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,938,0,0,938,1,0,3,1,5,0,Y,145,0,0,0,0,0,0,7,2008,Normal,130250
45,20,7945,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,1150,0,0,1150,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,5,2006,Normal,141000
46,120,7658,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,1752,0,0,1752,2,0,2,1,6,1,Y,196,82,0,0,0,0,0,2,2010,Normal,319900
47,50,12822,Pave,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1518,631,0,2149,1,1,1,1,6,1,Y,168,43,0,0,198,0,0,8,2009,Abnorml,239686
48,20,11096,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1656,0,0,1656,2,0,3,1,7,0,Y,0,146,0,0,0,0,0,7,2007,Normal,249700
49,190,4456,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,TA,TA,BrkTil,GasA,Gd,Y,736,716,0,1452,2,0,2,3,8,0,N,0,0,102,0,0,0,0,6,2009,Partial,113000
50,20,7742,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,955,0,0,955,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,1,2007,Normal,127000
51,60,13869,Pave,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,TA,TA,PConc,GasA,Gd,Y,794,676,0,1470,2,0,3,1,6,0,Y,0,75,0,0,0,0,0,7,2007,Normal,177000
52,50,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,816,0,360,1176,1,0,3,1,6,1,Y,112,0,0,0,0,0,400,9,2006,Normal,114500
53,90,8472,Grvl,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Fa,TA,CBlock,GasA,TA,N,816,0,0,816,1,0,2,1,5,0,Y,106,0,0,0,0,0,0,5,2010,Normal,110000
54,20,50271,Pave,IR1,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,Gd,TA,CBlock,GasA,Gd,Y,1842,0,0,1842,0,1,0,1,5,1,Y,857,72,0,0,0,0,0,11,2006,Normal,385000
55,80,7134,Pave,Reg,Bnk,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1360,0,0,1360,1,0,3,1,6,1,Y,0,50,0,0,0,0,0,2,2007,Normal,130000
56,20,10175,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,1425,0,0,1425,2,0,3,1,7,1,Y,0,0,0,407,0,0,0,7,2008,Normal,180500
57,160,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,983,756,0,1739,2,1,3,1,7,0,Y,115,0,0,0,0,0,0,8,2009,Abnorml,172500
58,60,11645,Pave,IR1,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,860,860,0,1720,2,1,3,1,7,0,Y,0,70,0,0,0,0,0,8,2006,Normal,196500
59,60,13682,Pave,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,1426,1519,0,2945,3,1,3,1,10,1,Y,192,0,37,0,0,0,0,10,2006,Partial,438780
60,20,7200,Pave,Reg,Bnk,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,780,0,0,780,1,0,2,1,4,0,Y,196,0,0,0,0,0,0,1,2008,Normal,124900
61,20,13072,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,1158,0,0,1158,1,1,3,1,5,0,Y,0,50,0,0,0,0,0,5,2006,Partial,158000
62,75,7200,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,TA,TA,BrkTil,GasA,TA,N,581,530,0,1111,1,0,3,1,6,0,N,0,0,144,0,0,0,0,3,2007,Normal,101000
63,120,6442,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1370,0,0,1370,2,0,2,1,6,1,Y,120,49,0,0,0,0,0,10,2007,Normal,202500
64,70,10300,Pave,IR1,Bnk,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,TA,TA,BrkTil,GasA,Gd,Y,902,808,0,1710,2,0,3,1,9,0,Y,12,11,64,0,0,0,0,4,2010,Normal,140000
65,60,9375,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,1057,977,0,2034,2,1,3,1,8,0,Y,576,36,0,0,0,0,0,2,2009,Normal,219500
66,60,9591,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1143,1330,0,2473,2,1,4,1,9,1,Y,192,151,0,0,0,0,0,10,2007,Normal,317000
67,20,19900,Pave,Reg,Lvl,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,2207,0,0,2207,2,0,3,1,7,1,Y,301,0,0,0,0,0,0,7,2010,Normal,180000
68,20,10665,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1479,0,0,1479,2,0,3,1,7,0,Y,144,29,0,0,0,0,0,6,2007,Normal,226000
69,30,4608,Pave,Reg,Lvl,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,747,0,0,747,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,6,2010,Normal,80000
70,50,15593,Pave,Reg,Lvl,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,CompShg,Gd,TA,CBlock,GasW,TA,Y,1304,983,0,2287,2,0,3,1,7,1,Y,0,21,114,0,0,0,0,7,2006,Normal,225000
71,20,13651,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,CompShg,TA,Gd,CBlock,GasA,Ex,Y,2223,0,0,2223,2,0,3,1,8,2,Y,300,0,0,0,0,0,0,2,2007,Normal,244000
72,20,7599,Pave,Reg,Lvl,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,845,0,0,845,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,6,2007,Normal,129500
73,60,10141,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,TA,TA,PConc,GasA,Gd,Y,885,833,0,1718,2,1,3,1,7,1,Y,0,94,0,0,291,0,0,12,2009,Normal,185000
74,20,10200,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,2003,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,1086,0,0,1086,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,5,2010,Normal,144900
75,50,5790,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,Gd,Gd,CBlock,GasA,Gd,N,840,765,0,1605,2,0,3,2,8,0,Y,0,0,202,0,0,0,0,5,2010,Normal,107400
76,180,1596,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,526,462,0,988,1,0,2,1,5,0,Y,120,101,0,0,0,0,0,11,2009,Normal,91000
77,20,8475,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,952,0,0,952,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,4,2008,Normal,135750
78,50,8635,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1072,213,0,1285,1,0,2,1,6,0,Y,0,0,0,0,0,0,0,1,2008,Normal,127000
79,90,10778,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,CompShg,TA,TA,CBlock,GasA,TA,N,1768,0,0,1768,2,0,4,2,8,0,Y,0,0,0,0,0,0,0,4,2010,Normal,136500
80,50,10440,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,TA,TA,PConc,GasA,Gd,Y,682,548,0,1230,1,1,2,1,5,0,Y,74,0,128,0,0,0,0,5,2009,Normal,110000
81,60,13000,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,1182,960,0,2142,2,1,4,1,8,1,Y,0,72,0,0,252,0,0,6,2009,Normal,193500
82,120,4500,Pave,Reg,Lvl,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,CompShg,TA,Gd,PConc,GasA,Ex,Y,1337,0,0,1337,2,0,2,1,5,0,Y,0,199,0,0,0,0,0,3,2006,Normal,153500
83,20,10206,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,1563,0,0,1563,2,0,3,1,6,1,Y,144,99,0,0,0,0,0,10,2008,Normal,245000
84,20,8892,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,1065,0,0,1065,1,1,3,1,6,0,Y,74,0,0,0,0,0,0,7,2007,Normal,126500
85,80,8530,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,TA,TA,PConc,GasA,Gd,Y,804,670,0,1474,2,1,3,1,7,1,Y,120,72,0,0,0,0,700,5,2009,Normal,168500
86,60,16059,Pave,Reg,Lvl,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,Hip,CompShg,Gd,TA,CBlock,GasA,Ex,Y,1301,1116,0,2417,2,1,4,1,9,1,Y,127,82,0,0,0,0,0,4,2006,Normal,260000
87,60,11911,Pave,IR2,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,684,876,0,1560,2,1,3,1,6,1,Y,100,38,0,0,0,0,0,3,2009,Normal,174000
88,160,3951,Pave,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,612,612,0,1224,2,1,2,1,4,0,Y,0,234,0,0,0,0,0,6,2009,Partial,164500
89,50,8470,Pave,IR1,Lvl,Corner,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,CompShg,Fa,Fa,CBlock,GasA,TA,N,1013,0,513,1526,1,0,2,1,6,0,N,0,0,156,0,0,0,0,10,2009,Abnorml,85000
90,20,8070,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,990,0,0,990,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,8,2007,Normal,123600
91,20,7200,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,Gable,CompShg,TA,TA,Slab,GasA,TA,Y,1040,0,0,1040,1,0,2,1,4,0,Y,0,29,0,0,0,0,0,7,2006,Normal,109900
92,20,8500,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1235,0,0,1235,1,0,2,1,6,0,Y,0,0,0,0,0,0,0,12,2006,Abnorml,98600
